trial,method,candidate_indices,selected_global_indices,built_edges,trains_used,tickets_connected,candidate_tickets,unconnected_candidates,ticket_coverage_rate,candidate_ticket_points,unconnected_candidate_points,printed_points_coverage_rate,predicted_ticket_value,printed_ticket_points,route_points,total_points,ticket_points_per_train,total_points_per_train,points_per_train,mean_blocked_ticket_points,worst_blocked_ticket_points,mean_blocked_retention,worst_blocked_retention
93,Original baseline,"2,4,5,8,13,17,19,24,25,26,29,36","4,29,26,8,19,2",Angora--Constantinople | Berlin--Danzic | Berlin--Frankfurt | Bruxelles--Frankfurt | Bucuresti--Constantinople | Bucuresti--Kyiv | Bucuresti--Sevastopol | Danzic--Riga | Kharkov--Rostov | Kyiv--Smolensk | Kyiv--Wilno | Moskva--Smolensk | Riga--Wilno | Rostov--Sochi | Sevastopol--Sochi,41.0,6.0,12.0,6.0,0.5,104.0,47.0,0.5480769230769231,57.0,57.0,55.0,112.0,1.3902439024390243,2.731707317073171,2.731707317073171,55.2,48.0,0.968421052631579,0.8421052631578947
93,Learned revised,"2,4,5,8,13,17,19,24,25,26,29,36","24,4,29,26,8,19",Berlin--Danzic | Berlin--Frankfurt | Bruxelles--Frankfurt | Bucuresti--Kyiv | Bucuresti--Sevastopol | Danzic--Riga | Dieppe--London | Dieppe--Paris | Edinburgh--London | Kyiv--Smolensk | Kyiv--Wilno | Moskva--Smolensk | Riga--Wilno | Rostov--Sochi | Sevastopol--Sochi,41.0,6.0,12.0,6.0,0.5,104.0,50.0,0.5192307692307693,54.335991174146756,54.0,57.0,111.0,1.3170731707317074,2.707317073170732,2.707317073170732,52.2,45.0,0.9666666666666667,0.8333333333333334
94,Original baseline,"0,2,5,8,12,16,23,27,35,37,40,43","23,43,0,37,12,27",Athina--Brindisi | Athina--Smyrna | Barcelona--Marseille | Brest--Paris | Brindisi--Roma | Constantinople--Smyrna | Dieppe--London | Dieppe--Paris | Edinburgh--London | Marseille--Paris | Marseille--Roma | Munchen--Venezia | Roma--Venezia | Venezia--Zagrab | Wien--Zagrab,40.0,6.0,12.0,6.0,0.5,126.0,66.0,0.47619047619047616,60.0,60.0,56.0,116.0,1.5,2.9,2.9,58.0,50.0,0.9666666666666667,0.8333333333333334
94,Learned revised,"0,2,5,8,12,16,23,27,35,37,40,43","23,16,12,43,27,0",Athina--Sofia | Barcelona--Marseille | Berlin--Frankfurt | Berlin--Wien | Brest--Paris | Bucuresti--Budapest | Bucuresti--Constantinople | Bucuresti--Sofia | Budapest--Wien | Dieppe--London | Dieppe--Paris | Edinburgh--London | Frankfurt--Munchen | Frankfurt--Paris | Marseille--Paris | Munchen--Venezia,44.0,6.0,12.0,6.0,0.5,126.0,64.0,0.49206349206349204,62.20540357050146,62.0,62.0,124.0,1.4090909090909092,2.8181818181818183,2.8181818181818183,50.6,23.0,0.8161290322580645,0.3709677419354839
95,Original baseline,"0,2,9,12,14,18,26,33,36,38,40,44","14,0,40,9,18,38,2",Angora--Constantinople | Athina--Palermo | Athina--Smyrna | Berlin--Frankfurt | Bucuresti--Constantinople | Bucuresti--Kyiv | Constantinople--Smyrna | Frankfurt--Munchen | Kharkov--Kyiv | Kyiv--Smolensk | Moskva--Petrograd | Moskva--Smolensk | Munchen--Venezia | Palermo--Roma | Roma--Venezia,45.0,7.0,12.0,5.0,0.5833333333333334,124.0,48.0,0.6129032258064516,76.0,76.0,69.0,145.0,1.6888888888888889,3.2222222222222223,3.2222222222222223,59.6,25.0,0.7842105263157895,0.32894736842105265
95,Learned revised,"0,2,9,12,14,18,26,33,36,38,40,44","38,14,40,2,0,9",Angora--Constantinople | Athina--Palermo | Athina--Smyrna | Bucuresti--Constantinople | Bucuresti--Kyiv | Constantinople--Smyrna | Frankfurt--Munchen | Kharkov--Kyiv | Kyiv--Wilno | Moskva--Petrograd | Moskva--Smolensk | Munchen--Venezia | Palermo--Roma | Petrograd--Wilno | Roma--Venezia,45.0,6.0,12.0,6.0,0.5,124.0,57.0,0.5403225806451613,66.80967705270966,67.0,70.0,137.0,1.488888888888889,3.0444444444444443,3.0444444444444443,54.2,16.0,0.808955223880597,0.23880597014925373
96,Original baseline,"3,9,10,11,16,17,22,25,28,29,30,44","3,9,16,29,28,22,25,17",Amsterdam--Bruxelles | Amsterdam--Frankfurt | Amsterdam--London | Barcelona--Marseille | Berlin--Essen | Berlin--Warzawa | Bucuresti--Kyiv | Bucuresti--Sevastopol | Bucuresti--Sofia | Essen--Frankfurt | Frankfurt--Munchen | Kyiv--Smolensk | Kyiv--Warzawa | Marseille--Zurich | Munchen--Zurich | Sarajevo--Sofia | Sevastopol--Sochi,44.0,8.0,12.0,4.0,0.6666666666666666,112.0,42.0,0.625,70.0,70.0,60.0,130.0,1.5909090909090908,2.9545454545454546,2.9545454545454546,63.8,54.0,0.9114285714285714,0.7714285714285715
96,Learned revised,"3,9,10,11,16,17,22,25,28,29,30,44","16,3,9,29,28,22,25,17,11",Amsterdam--Bruxelles | Amsterdam--Frankfurt | Amsterdam--London | Barcelona--Madrid | Barcelona--Marseille | Berlin--Essen | Berlin--Wien | Bucuresti--Budapest | Bucuresti--Kyiv | Bucuresti--Sevastopol | Budapest--Sarajevo | Budapest--Wien | Essen--Frankfurt | Frankfurt--Munchen | Kyiv--Smolensk | Marseille--Zurich | Munchen--Zurich | Sevastopol--Sochi,45.0,9.0,12.0,3.0,0.75,112.0,34.0,0.6964285714285714,78.39263275600041,78.0,60.0,138.0,1.7333333333333334,3.066666666666667,3.066666666666667,71.8,62.0,0.9205128205128205,0.7948717948717948
97,Original baseline,"1,4,14,16,17,23,29,30,32,33,37,39","14,30,23,17,4,29",Angora--Constantinople | Athina--Palermo | Athina--Smyrna | Barcelona--Marseille | Brest--Paris | Bruxelles--Paris | Bucuresti--Kyiv | Bucuresti--Sevastopol | Constantinople--Smyrna | Kyiv--Wilno | Marseille--Paris | Riga--Wilno | Sevastopol--Sochi,41.0,6.0,12.0,6.0,0.5,86.0,40.0,0.5348837209302325,46.0,46.0,66.0,112.0,1.1219512195121952,2.731707317073171,2.731707317073171,43.4,33.0,0.9434782608695652,0.717391304347826
97,Learned revised,"1,4,14,16,17,23,29,30,32,33,37,39","23,17,14,30,16,33,4",Angora--Constantinople | Athina--Palermo | Athina--Smyrna | Barcelona--Marseille | Berlin--Danzic | Berlin--Wien | Brest--Paris | Bruxelles--Paris | Bucuresti--Budapest | Bucuresti--Sofia | Budapest--Wien | Constantinople--Smyrna | Danzic--Riga | Marseille--Paris,41.0,7.0,12.0,5.0,0.5833333333333334,86.0,35.0,0.5930232558139535,49.80472022780036,51.0,63.0,114.0,1.2439024390243902,2.7804878048780486,2.7804878048780486,48.4,38.0,0.9490196078431372,0.7450980392156863
98,Original baseline,"2,4,14,15,17,19,23,26,33,34,39,44","14,23,17,15,44,19",Amsterdam--Bruxelles | Amsterdam--Essen | Athina--Palermo | Athina--Smyrna | Barcelona--Madrid | Barcelona--Marseille | Berlin--Danzic | Berlin--Essen | Brest--Paris | Bruxelles--Paris | Cadiz--Madrid | Constantinople--Smyrna | Dieppe--Paris | Essen--Khobenhaven | Khobenhaven--Stockholm | Marseille--Paris,44.0,6.0,12.0,6.0,0.5,105.0,44.0,0.580952380952381,61.0,61.0,65.0,126.0,1.3863636363636365,2.8636363636363638,2.8636363636363638,59.4,53.0,0.9737704918032787,0.8688524590163934
98,Learned revised,"2,4,14,15,17,19,23,26,33,34,39,44","23,17,15,44,19,14",Amsterdam--Bruxelles | Amsterdam--Essen | Athina--Palermo | Athina--Smyrna | Barcelona--Madrid | Barcelona--Marseille | Berlin--Danzic | Berlin--Essen | Brest--Paris | Bruxelles--Paris | Cadiz--Madrid | Constantinople--Smyrna | Dieppe--Paris | Essen--Khobenhaven | Khobenhaven--Stockholm | Marseille--Paris,44.0,6.0,12.0,6.0,0.5,105.0,44.0,0.580952380952381,60.805682743845395,61.0,65.0,126.0,1.3863636363636365,2.8636363636363638,2.8636363636363638,59.4,53.0,0.9737704918032787,0.8688524590163934
99,Original baseline,"2,4,7,10,14,17,21,28,30,41,43,44","14,10,30,43,7,2",Amsterdam--Frankfurt | Amsterdam--London | Angora--Constantinople | Athina--Palermo | Athina--Smyrna | Bucuresti--Constantinople | Bucuresti--Kyiv | Constantinople--Smyrna | Edinburgh--London | Frankfurt--Munchen | Kharkov--Kyiv | Kyiv--Wilno | Munchen--Venezia | Palermo--Roma | Roma--Venezia,43.0,6.0,12.0,6.0,0.5,138.0,74.0,0.463768115942029,64.0,64.0,65.0,129.0,1.4883720930232558,3.0,3.0,44.2,31.0,0.690625,0.484375
99,Learned revised,"2,4,7,10,14,17,21,28,30,41,43,44","14,10,30,2,28,21,17",Amsterdam--Bruxelles | Angora--Constantinople | Athina--Palermo | Athina--Sarajevo | Athina--Smyrna | Barcelona--Pamplona | Bruxelles--Paris | Constantinople--Sevastopol | Constantinople--Smyrna | Kharkov--Rostov | Palermo--Roma | Pamplona--Paris | Rostov--Sevastopol,39.0,7.0,12.0,5.0,0.5833333333333334,138.0,84.0,0.391304347826087,52.82662748626084,54.0,63.0,117.0,1.3846153846153846,3.0,3.0,45.2,25.0,0.8370370370370371,0.46296296296296297
100,Original baseline,"6,7,9,12,15,27,31,35,36,40,42,43","15,42,12,27,43,31",Athina--Sarajevo | Athina--Smyrna | Barcelona--Pamplona | Berlin--Danzic | Berlin--Frankfurt | Berlin--Wien | Budapest--Sarajevo | Budapest--Wien | Dieppe--London | Dieppe--Paris | Edinburgh--London | Frankfurt--Munchen | Frankfurt--Paris | Lisboa--Madrid | Madrid--Pamplona | Pamplona--Paris | Sarajevo--Sofia,45.0,6.0,12.0,6.0,0.5,138.0,68.0,0.5072463768115942,70.0,70.0,61.0,131.0,1.5555555555555556,2.911111111111111,2.911111111111111,50.4,21.0,0.72,0.3
100,Learned revised,"6,7,9,12,15,27,31,35,36,40,42,43","15,42,12,43,6,7",Amsterdam--Frankfurt | Athina--Sarajevo | Berlin--Danzic | Berlin--Frankfurt | Berlin--Wien | Budapest--Sarajevo | Budapest--Wien | Danzic--Warzawa | Dieppe--London | Dieppe--Paris | Edinburgh--London | Frankfurt--Paris | Lisboa--Madrid | Madrid--Pamplona | Pamplona--Paris | Warzawa--Wilno,44.0,6.0,12.0,6.0,0.5,138.0,58.0,0.5797101449275363,80.74610079715364,80.0,61.0,141.0,1.8181818181818181,3.2045454545454546,3.2045454545454546,59.8,19.0,0.7474999999999999,0.2375
